model,calibrator,split,cp_model,cp_penalty,cp_min_size,cp_jump,num_windows,MAE_CP,tolerance_hit_rate,mean_signed_error,coverage_rate,sharpness,delta_MAE_CP,delta_tolerance_hit_rate,delta_coverage_rate,delta_sharpness,coverage_gap
lstm,extra_trees,test,normal,10.0,8,1,852,6.85093896713615,0.34976525821596244,-0.8720657276995305,0.9790082141770612,6.294856200920042,-0.5892018779342729,-0.142018779342723,0.0047916032856708535,0.6773693439826163,0.02900821417706123
lstm,global_median_offset,test,normal,10.0,8,1,852,7.076291079812207,0.4765258215962441,-2.6208920187793425,0.9759659263766353,5.926446646056842,-0.363849765258216,-0.015258215962441313,0.0017493154852449289,0.3089597891194167,0.025965926376635307
lstm,gradient_boosting,test,normal,10.0,8,1,852,6.895539906103286,0.31572769953051644,-0.2335680751173709,0.979692728932157,6.377599986530823,-0.5446009389671369,-0.176056338028169,0.005476118040766642,0.7601131295933978,0.02969272893215702
lstm,per_series_median_offset,test,normal,10.0,8,1,852,7.136150234741784,0.42370892018779344,-2.8826291079812205,0.9763462123516885,5.9618349983625185,-0.30399061032863894,-0.068075117370892,0.0021296014602981694,0.34434814142509307,0.026346212351688547
lstm,random_forest,test,normal,10.0,8,1,852,6.712441314553991,0.3192488262910798,-0.6349765258215962,0.9796166717371463,6.334950110187011,-0.727699530516432,-0.17253521126760563,0.00540006084575595,0.7174632532495853,0.029616671737146327
lstm,raw_tau,test,normal,10.0,8,1,852,7.440140845070423,0.49178403755868544,-4.599765258215962,0.9742166108913903,5.617486856937425,0.0,0.0,0.0,0.0,0.024216610891390378
lstm,extra_trees,train,normal,10.0,8,1,2601,0.7797001153402537,0.9580930411380238,-0.03844675124951941,0.9823646723646724,3.6998369210329565,-6.660440729730169,0.4663090035793384,0.008148061473282064,-1.917649935904469,0.03236467236467244
lstm,global_median_offset,train,normal,10.0,8,1,2601,5.813533256439831,0.5021145713187236,-0.4186851211072664,0.9815669515669516,3.6661854173083332,-1.6266075886305922,0.010330533760038174,0.007350340675561284,-1.9513014396290922,0.03156695156695166
lstm,gradient_boosting,train,normal,10.0,8,1,2601,4.153787004998078,0.4728950403690888,0.006920415224913495,0.9832478632478633,3.816797259642352,-3.286353840072345,-0.018888997189596635,0.009031252356472952,-1.8006895972950736,0.03324786324786333
lstm,per_series_median_offset,train,normal,10.0,8,1,2601,5.599000384467512,0.5059592464436755,-0.6931949250288351,0.9813390313390313,3.6844134384933493,-1.8411404606029107,0.014175208884990076,0.007122420447640998,-1.933073418444076,0.031339031339031376
lstm,random_forest,train,normal,10.0,8,1,2601,2.3375624759707803,0.8489042675893888,0.11457131872356786,0.9831339031339031,3.7885370546110857,-5.102578369099643,0.3571202300307033,0.008917292242512809,-1.8289498023263397,0.033133903133903186
lstm,raw_tau,train,normal,10.0,8,1,2601,5.997308727412534,0.48981161091887737,-2.4148404459823145,0.9788603988603989,3.450357628126356,-1.4428321176578889,-0.001972426639808067,0.00464378796900855,-2.1671292288110693,0.028860398860398928
lstm,extra_trees,val,normal,10.0,8,1,847,5.887839433293979,0.36481700118063753,0.24439197166469895,0.9791148682247638,5.683990789749999,-1.552301411776444,-0.1269670363780479,0.004898257333373457,0.06650393281257383,0.029114868224763835
lstm,global_median_offset,val,normal,10.0,8,1,847,6.092089728453365,0.5100354191263282,-1.4025974025974026,0.9775401955909166,5.355576517923554,-1.3480511166170581,0.018251381567642777,0.0033235846995263163,-0.2619103390138715,0.027540195590916694
lstm,gradient_boosting,val,normal,10.0,8,1,847,5.900826446280992,0.33766233766233766,0.6257378984651711,0.979695010774076,5.729560871947222,-1.5393143987894309,-0.15412169989634777,0.005478399882685614,0.11207401500979675,0.02969501077407599
lstm,per_series_median_offset,val,normal,10.0,8,1,847,6.142857142857143,0.4805194805194805,-1.7508854781582055,0.9766285430134262,5.391391058509608,-1.2972837022132797,-0.011264557039204925,0.0024119321220358314,-0.22609579842781713,0.02662854301342621
lstm,random_forest,val,normal,10.0,8,1,847,5.8429752066115705,0.34946871310507677,0.5537190082644629,0.9793635007458975,5.725687100356306,-1.5971656384588524,-0.14231532445360867,0.005146889854507175,0.10820024341888068,0.029363500745897553
lstm,raw_tau,val,normal,10.0,8,1,847,6.323494687131051,0.512396694214876,-3.3931523022432115,0.9745566053373115,5.07974999507839,-1.116646157939372,0.020612656656190553,0.0003399944459211435,-0.5377368618590355,0.02455660533731152
