model,calibrator,split,cp_detector,cp_model,cp_penalty,cp_min_size,cp_jump,cp_period_length,cp_exclusion_radius,cp_score_threshold,num_windows,MAE_CP,tolerance_hit_rate,mean_signed_error,coverage_rate,sharpness,delta_MAE_CP,delta_tolerance_hit_rate,delta_coverage_rate,delta_sharpness,coverage_gap
deepar,extra_trees,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,1.5053149606299212,0.8637007874015749,-0.009330708661417322,0.8142146350932388,-2.8783819061510694,-5.65657693126197,0.4372143009150884,0.012404902780428273,-1.8142035941069237,0.13578536490676119
deepar,global_median_offset,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,5.59507874015748,0.5166141732283465,-1.2170472440944882,0.8102059988536289,-2.910294615813364,-1.5668131517344115,0.09012768674186,0.008396266540818376,-1.846116303769218,0.13979400114637108
deepar,gradient_boosting,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,5.0449212598425195,0.3147637795275591,-0.004763779527559055,0.8086842187188112,-2.9013681747915725,-2.116970632049372,-0.11172270695892739,0.006874486406000746,-1.8371898627474268,0.1413157812811887
deepar,per_series_median_offset,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,5.583385826771654,0.5193700787401575,-1.3620472440944882,0.8101199294597222,-2.911418356580295,-1.578506065120238,0.09288359225367104,0.008310197146911724,-1.8472400445361492,0.13988007054027773
deepar,random_forest,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,1.7946456692913386,0.8200393700787402,0.01,0.8137916131785061,-2.8795382521511548,-5.367246222600553,0.3935528835922537,0.011981880865695627,-1.815359940107009,0.13620838682149383
deepar,raw_tau,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,5.59507874015748,0.5166141732283465,-1.2170472440944882,0.8102059988536289,-2.910294615813364,-1.5668131517344115,0.09012768674186,0.008396266540818376,-1.846116303769218,0.13979400114637108
deepar,extra_trees,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,5.273611111111111,0.20277777777777778,2.3452777777777776,0.7608219297354559,-1.082637713604747,-1.8882807807807804,-0.22370870870870868,-0.04098780257735457,-0.01845940156060122,0.18917807026454403
deepar,global_median_offset,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,4.3405555555555555,0.6030555555555556,-0.09722222222222222,0.7525213681415158,-1.1116442962357522,-2.821336336336336,0.1765690690690691,-0.049288364171294674,-0.047465984191606525,0.19747863185848413
deepar,gradient_boosting,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,5.168055555555555,0.24083333333333334,2.1230555555555557,0.7572956422051632,-1.0846115834053145,-1.9938363363363365,-0.18565315315315312,-0.044514090107647286,-0.020433271361168792,0.19270435779483674
deepar,per_series_median_offset,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,4.3566666666666665,0.6052777777777778,-0.24222222222222223,0.7525068566701978,-1.112896361602921,-2.805225225225225,0.17879129129129134,-0.04930287564261271,-0.048718049558775345,0.19749314332980217
deepar,random_forest,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,5.603055555555556,0.1638888888888889,2.754166666666667,0.7598496611571447,-1.0738934277695869,-1.558836336336336,-0.2625975975975976,-0.0419600711556658,-0.009715115725441148,0.19015033884285526
deepar,raw_tau,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,4.3405555555555555,0.6030555555555556,-0.09722222222222222,0.7525213681415158,-1.1116442962357522,-2.821336336336336,0.1765690690690691,-0.049288364171294674,-0.047465984191606525,0.19747863185848413
lstm,extra_trees,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,6.805945945945946,0.11797297297297298,-0.9081081081081082,0.9840462322013456,2.678714155738158,-0.3686486486486489,-0.3691891891891892,0.00024579434444360615,-0.115572797092232,0.034046232201345616
lstm,global_median_offset,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,7.174594594594595,0.4871621621621622,1.8718918918918919,0.983800437856902,2.79428695283039,0.0,0.0,0.0,0.0,0.03380043785690201
lstm,gradient_boosting,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,6.695675675675676,0.11432432432432432,-1.1437837837837839,0.9840462322013456,2.6812905388649066,-0.4789189189189189,-0.37283783783783786,0.00024579434444360615,-0.11299641396548354,0.034046232201345616
lstm,per_series_median_offset,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,7.3213513513513515,0.46918918918918917,1.6418918918918919,0.9829830287579383,2.6411149032435524,0.1467567567567567,-0.01797297297297301,-0.0008174090989636618,-0.15317204958683783,0.03298302875793835
lstm,random_forest,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,6.863108108108108,0.12,-0.8531081081081081,0.9840748129390716,2.6896498376353986,-0.311486486486487,-0.3671621621621622,0.00027437508216965334,-0.10463711519499164,0.034074812939071664
lstm,raw_tau,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,7.174594594594595,0.4871621621621622,1.8718918918918919,0.983800437856902,2.79428695283039,0.0,0.0,0.0,0.0,0.03380043785690201
lstm,extra_trees,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,1.5108661417322835,0.8516535433070866,-0.004330708661417323,0.9676781956925016,0.6708085962503433,-5.663728452862311,0.36449138114492446,-0.01612224216440039,-2.123478356580047,0.01767819569250162
lstm,global_median_offset,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,5.941102362204725,0.4946456692913386,-1.2190551181102363,0.9672148859763657,0.6757900347069011,-1.23349223238987,0.007483507129176392,-0.01658555188053623,-2.118496918123489,0.01721488597636578
lstm,gradient_boosting,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,5.0535826771653545,0.31826771653543307,-0.007440944881889764,0.9672789802058707,0.6586550554475904,-2.1210119174292403,-0.16889444562672912,-0.0165214576510313,-2.1356318973827997,0.01727898020587071
lstm,per_series_median_offset,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,5.88740157480315,0.4908267716535433,-1.4490551181102362,0.9665446434621139,0.5829645559879257,-1.2871930197914452,0.0036646094913811433,-0.017255794394788082,-2.2113223968424647,0.016544643462113928
lstm,random_forest,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,1.727283464566929,0.820511811023622,0.015393700787401574,0.9676617143192002,0.6732926272367387,-5.447311130027666,0.33334964886145985,-0.016138723537701738,-2.1209943255936516,0.017661714319200272
lstm,raw_tau,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,5.941102362204725,0.4946456692913386,-1.2190551181102363,0.9672148859763657,0.6757900347069011,-1.23349223238987,0.007483507129176392,-0.01658555188053623,-2.118496918123489,0.01721488597636578
lstm,extra_trees,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,5.196944444444444,0.27444444444444444,2.2219444444444445,0.9798871007531453,3.384059735880714,-1.9776501501501507,-0.21271771771771775,-0.003913337103756631,0.5897727830503237,0.02988710075314538
lstm,global_median_offset,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,4.054444444444444,0.7072222222222222,-0.5544444444444444,0.9796113827981019,3.353210100941944,-3.1201501501501507,0.22006006006006001,-0.004189055058800073,0.5589231481115537,0.029611382798101937
lstm,gradient_boosting,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,5.022222222222222,0.24583333333333332,2.0122222222222224,0.9799451466384177,3.3769347089659054,-2.1523723723723727,-0.24132882882882886,-0.003855291218484269,0.5826477561355152,0.02994514663841774
lstm,per_series_median_offset,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,4.259444444444444,0.6925,-0.7844444444444445,0.9780586553670677,3.165518038352087,-2.9151501501501507,0.20533783783783782,-0.005741782489834257,0.3712310855216967,0.028058655367067753
lstm,random_forest,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,5.501388888888889,0.23027777777777778,2.6108333333333333,0.9798580778105092,3.385740115589322,-1.6732057057057057,-0.25688438438438443,-0.003942360046392812,0.5914531627589317,0.029858077810509198
lstm,raw_tau,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,4.054444444444444,0.7072222222222222,-0.5544444444444444,0.9796113827981019,3.353210100941944,-3.1201501501501507,0.22006006006006001,-0.004189055058800073,0.5589231481115537,0.029611382798101937
seasonal_naive,extra_trees,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,6.882297297297297,0.12256756756756756,-1.8277027027027026,0.9696929857153472,4.850505815765583,-0.4506756756756758,-0.30418918918918925,-0.0036126052485667692,-0.028897478805324894,0.019692985715347278
